"Date","Number of craft beer suppliers"
"1/1/1979","2"
"1/1/1980","8"
"1/1/1981","10"
"1/1/1982","13"
"1/1/1983","14"
"1/1/1984","22"
"1/1/1985","37"
"1/1/1986","46"
"1/1/1987","91"
"1/1/1988","150"
"1/1/1989","215"
"1/1/1990","269"
"1/1/1991","322"
"1/1/1992","376"
"1/1/1993","461"
"1/1/1994","605"
"1/1/1995","977"
"1/1/1996","1277"
"1/1/1997","1447"
"1/1/1998","1625"
"1/1/1999","1553"
"1/1/2000","1469"
"1/1/2001","1474"
"1/1/2002","1552"
"1/1/2003","1609"
"1/1/2004","1568"
"1/1/2005","1558"
"1/1/2006","1599"
"1/1/2007","1615"
"1/1/2008","1659"
"1/1/2009","1717"
"1/1/2010","1756"
"1/1/2011","1976"
"1/1/2012","2347"
